Sample	Query	Marker	Start_pos	End_pos	Taxonomy	Abundance	iNode	E-value	LWR	EvoDist	Distances
SI072_150m_contig_classified	k147_289843_1_1	NirK	7	172	r__Root; d__Bacteria	298.2631755522157	29	2e-25	1.0	1.5182	0.8232,0.695,0.0
SI072_150m_contig_classified	k147_76115_1_1	NirK	1	172	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__GCA-2731375; f__GCA-2731375; g__GCA-2731375; s__GCA-2731375 sp018701215	0.0	257	5.5e-35	0.8146072316	0.1171	0.117,0.0001,0.0
SI072_150m_contig_classified	k147_72654_1_1	NirK	2	113	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__CPC320; s__CPC320 sp002684375	0.0	312	2.9e-25	1.0	0.0525	0.0524,0.0001,0.0
SI072_150m_contig_classified	k147_183035_5_1	NirK	1	349	r__Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosopumilus	123.27835017526205	411	8e-53	1.0	0.2921	0.0322,0.26,0.0
SI072_150m_contig_classified	k147_57375_7_1	NirK	1	350	r__Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosopumilus; s__Nitrosopumilus sp018674605	54.05009984420043	509	1.9e-81	1.0	0.0002	0.0001,0.0001,0.0
SI072_150m_contig_classified	k147_127088_1_1	NirK	1	380	r__Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosopumilus	9366.391669653134	653	2.2e-50	0.6593902388	0.0285	0.0284,0.0001,0.0
SI072_150m_contig_classified	k147_276549_1_1	NirK	1	179	r__Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosopumilus; s__Nitrosopumilus sp001437625	4388.1951771355325	661	9.1e-29	0.6611556241	0.0522	0.0309,0.0213,0.0
SI072_150m_contig_classified	k147_233586_1_1	NirK	1	167	r__Root; d__Archaea; p__Thermoproteota	5931.270237992917	660	1.2e-23	0.129050623	0.1576	0.0001,0.0229,0.1347
SI072_150m_contig_classified	k147_50138_1_1	NirK	1	144	r__Root; d__Bacteria; p__Nitrospinota; c__Nitrospinia; o__Nitrospinales; f__Nitrospinaceae; g__LS-NOB	0.0	881	3.8e-44	0.5948341042	0.1857	0.0803,0.1054,0.0
SI072_150m_contig_classified	k147_185259_1_1	NirK	1	123	r__Root; d__Bacteria; p__Nitrospinota; c__Nitrospinia; o__Nitrospinales; f__Nitrospinaceae; g__UBA8687	0.0	874	7.7e-28	0.4405343878	0.3477	0.034,0.1054,0.2084
SI072_150m_contig_classified	k147_322277_2_1	NirK	1	263	r__Root; d__Bacteria; p__Nitrospinota; c__Nitrospinia; o__Nitrospinales; f__Nitrospinaceae	12.918003221862135	892	2.1e-80	0.4914227639	0.1907	0.0001,0.0222,0.1685
SI072_150m_contig_classified	k147_24065_1_1	NirK	1	82	r__Root; d__Bacteria; p__Nitrospinota; c__Nitrospinia; o__Nitrospinales; f__Nitrospinaceae; g__Nitromaritima	0.0	896	9.3e-13	0.410754453	0.2516	0.1022,0.1494,0.0
SI072_150m_contig_classified	k147_191792_2_1	NirK	15	380	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	0.0	958	2.5e-91	1.0	0.9586	0.138,0.5021,0.3185
SI072_150m_contig_classified	k147_42554_2_1	NirK	1	206	r__Root; d__Bacteria; p__Proteobacteria	0.0	1081	2e-58	0.8550970942	0.8933	0.0974,0.2432,0.5527
SI072_150m_contig_classified	k147_399043_1_1	NirK	4	214	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	0.0	282	1.1e-60	0.5049121491	0.8512	0.1907,0.3969,0.2636
SI072_150m_contig_classified	k147_398438_8_1	NirK	1	350	r__Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosopumilus	0.0	503	1e-80	0.5002673499	0.1408	0.0546,0.0862,0.0
SI072_150m_contig_classified	k147_131764_1_1	NirK	1	279	r__Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosopumilus; s__Nitrosopumilus sp001437625	14022.465301535092	661	4.6e-37	0.763943117	0.0685	0.0306,0.038,0.0
