Sample	Query	Marker	Start_pos	End_pos	Taxonomy	Abundance	iNode	E-value	LWR	EvoDist	Distances
SI072_200m_contig	k147_6900_1	NirK	9	179	r__Root; d__Bacteria; p__Verrucomicrobiota	0.14290955117434342	234	3.9e-15	0.4153795355	1.186	0.7802,0.4058,0.0
SI072_200m_contig	k147_95132_1	NirK	1	192	r__Root	0.21573501887035995	323	7.8e-35	0.9920772814	2.9187	0.0001,1.3331,1.5855
SI072_200m_contig	k147_426730_1	NirK	3	191	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__PS1	0.1642977610960296	301	6.3e-14	1.0	0.8976	0.0001,0.8976,0.0
SI072_200m_contig	k147_95152_1	NirK	1	190	r__Root	0.23633283474240435	222	1.6e-31	1.0	1.8768	0.7643,1.1125,0.0
SI072_200m_contig	k147_277304_1	NirK	2	144	r__Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosopumilus	0.9308067168344072	504	5.6e-25	0.7137568026	0.0654	0.0305,0.0349,0.0
SI072_200m_contig	k147_38553_1	NirK	5	88	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Casp-alpha2; g__JABJGO01; s__JABJGO01 sp018662225	0.160330343569563	258	6.2e-15	1.0	0.0002	0.0001,0.0001,0.0
SI072_200m_contig	k147_348629_1	NirK	20	117	r__Root	0.6576261549802414	409	2.9e-06	1.0	2.6619	1.3418,1.3201,0.0
SI072_200m_contig	k147_55764_2	NirK	2	141	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__UBA828; f__UBA828	0.28351559572111845	404	2.7e-16	1.0	0.4328	0.4327,0.0001,0.0
SI072_200m_contig	k147_38933_3	NirK	1	95	r__Root; d__Bacteria	0.19802203837363566	218	3.9e-16	0.5453547951	1.5491	0.7279,0.8212,0.0
SI072_200m_contig	k147_6756_1	NirK	1	252	r__Root; d__Bacteria; p__Nitrospinota; c__Nitrospinia; o__Nitrospinales; f__Nitrospinaceae; g__LS-NOB; s__LS-NOB sp018673915	0.3452616393270483	883	6.8e-37	0.3084359048	0.0852	0.0001,0.0852,0.0
SI072_200m_contig	k147_374236_1	NirK	8	143	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__GCA-2731375; f__GCA-2731375; g__GCA-2731375; s__GCA-2731375 sp018701215	0.09866482681203875	257	4.8e-45	1.0	0.0002	0.0001,0.0001,0.0
SI072_200m_contig	k147_291631_1	NirK	9	204	r__Root	0.182641685878596	321	5.2e-56	0.6252990193	2.6228	0.3816,1.0339,1.2073
SI072_200m_contig	k147_50011_4	NirK	1	343	r__Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosopumilus	0.41577453346928217	508	2.3e-80	0.4205850691	0.1577	0.1101,0.0476,0.0
SI072_200m_contig	k147_302697_1	NirK	2	311	r__Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosopumilus	2.759812773555393	518	1.6e-69	0.3614856586	0.2241	0.0001,0.067,0.157
SI072_200m_contig	k147_190286_7	NirK	1	412	r__Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosopumilus	8.465442140472923	650	5.9e-47	0.2742660241	0.1318	0.0872,0.0446,0.0
SI072_200m_contig	k147_439716_1	NirK	1	432	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Aeromonadaceae	0.2702887018030946	813	1.9e-110	0.8453676226	0.4466	0.1236,0.323,0.0
SI072_200m_contig	k147_402328_2	NirK	2	311	r__Root	0.17224448799617595	955	8.4e-60	0.8029815995	2.1332	0.0692,0.866,1.198
SI072_200m_contig	k147_120915_2	NirK	12	288	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	0.25336153057906247	29	1.1e-28	1.0	1.094	0.8668,0.2272,0.0
SI072_200m_contig	k147_297146_2	NirK	1	120	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__PS1; f__Thioglobaceae; g__SUP05; s__SUP05 sp000205985	71.72110702345117	301	1.4e-15	1.0	0.0002	0.0001,0.0001,0.0
SI072_200m_contig	k147_210675_1	NirK	1	196	r__Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosopumilus; s__Nitrosopumilus sp018674605	0.5398878916117937	509	4.5e-48	0.7140006194	0.0946	0.0613,0.0333,0.0
SI072_200m_contig	k147_277300_1	NirK	9	116	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylomonadaceae; g__Methyloprofundus; s__Methyloprofundus sp012960135	0.3243464421637136	595	7.2e-25	0.9058631475	0.0002	0.0001,0.0001,0.0
SI072_200m_contig	k147_263571_1	NirK	10	157	r__Root	0.47928901007631564	715	1.1e-05	0.3558183322	2.8683	0.3316,1.832,0.7047
SI072_200m_contig	k147_43288_1	NirK	1	327	r__Root; d__Bacteria; p__Nitrospinota; c__Nitrospinia; o__Nitrospinales; f__Nitrospinaceae; g__LS-NOB	0.2939389632108654	891	2.8e-100	1.0	0.1513	0.046,0.1054,0.0
SI072_200m_contig	k147_140815_2	NirK	13	352	r__Root; d__Bacteria; p__Proteobacteria	0.36074327303151665	1105	7.5e-81	0.5663219705	1.2772	0.0321,0.5956,0.6496
SI072_200m_contig	k147_41563_1	NirK	8	192	r__Root; d__Bacteria; p__Bipolaricaulota	0.22045422240814908	497	9.8e-67	1.0	0.9643	0.5685,0.3958,0.0
SI072_200m_contig	k147_168096_3	NirK	2	342	r__Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosopumilus	1.688440091001948	506	1.7e-77	0.9322705374	0.1564	0.0903,0.0661,0.0
SI072_200m_contig	k147_247987_2	NirK	8	332	r__Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosopumilus	0.858935413454505	515	3.4e-77	0.26001296	0.1455	0.088,0.0574,0.0
SI072_200m_contig	k147_19445_1	NirK	1	386	r__Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosopumilus	5.008414541982539	653	1.8e-47	0.6440107786	0.0447	0.0446,0.0001,0.0
SI072_200m_contig	k147_361908_12	NirK	1	327	r__Root; d__Bacteria; p__Nitrospinota; c__Nitrospinia; o__Nitrospinales; f__Nitrospinaceae; g__LS-NOB; s__LS-NOB sp018653085	0.9248323476634547	891	1.4e-99	1.0	0.0002	0.0001,0.0001,0.0
SI072_200m_contig	k147_266088_5	NirK	6	161	r__Root	0.49049937419236445	542	0.00091	0.3099512394	5.1442	0.3037,1.9863,2.8542
SI072_200m_contig	k147_191796_1	NirK	24	207	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylomonadaceae; g__Methyloprofundus; s__Methyloprofundus sp012960135	0.2953589582022223	380	1.1e-52	1.0	0.0002	0.0001,0.0001,0.0
SI072_200m_contig	k147_415027_3	NirK	1	394	r__Root; d__Bacteria; p__Bacteroidota; c__Rhodothermia; o__Rhodothermales; f__UBA10348; g__UBA10348	0.23886687755284777	786	1.8e-113	1.0	0.1292	0.029,0.1002,0.0
SI072_200m_contig	k147_274369_2	NirK	2	492	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__GCF-002020875; f__GCF-002020875; g__Thiopontia; s__Thiopontia sp013349825	1.2778424388687923	283	1.3e-98	1.0	0.0002	0.0001,0.0001,0.0
SI072_200m_contig	k147_216200_1	NirK	21	230	r__Root	0.27604702631976935	307	1.7e-31	1.0	2.1901	0.3697,1.8203,0.0
SI072_200m_contig	k147_356815_1	NirK	2	260	r__Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosopumilus; s__Nitrosopumilus sp905616385	0.5064794443017989	506	7.5e-61	1.0	0.0276	0.0001,0.0275,0.0
SI072_200m_contig	k147_147130_90	NirK	4	484	r__Root; d__Bacteria; p__Marinisomatota; c__Marinisomatia; o__Marinisomatales; f__TCS55; g__TCS55; s__TCS55 sp018647265	0.7677420147930613	726	4.3e-111	1.0	0.0002	0.0001,0.0001,0.0
SI072_200m_contig	k147_353948_1	NirK	1	318	r__Root; d__Bacteria; p__Nitrospinota; c__Nitrospinia; o__Nitrospinales; f__Nitrospinaceae; g__Nitromaritima	0.309603422065363	897	4.7e-100	1.0	0.3095	0.1456,0.0777,0.0862
SI072_200m_contig	k147_148351_2	NirK	1	120	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__PS1; f__Thioglobaceae; g__SUP05	3.789626302553306	301	9.8e-21	1.0	0.2901	0.0001,0.29,0.0
SI072_200m_contig	k147_65056_4	NirK	1	349	r__Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosopumilus	4.49474666029872	411	2.6e-50	1.0	0.116	0.0064,0.1095,0.0
SI072_200m_contig	k147_267087_4	NirK	3	342	r__Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosopumilus; s__Nitrosopumilus sp905616385	1.2030990122119143	506	4.1e-81	1.0	0.0221	0.022,0.0001,0.0
SI072_200m_contig	k147_424266_1	NirK	1	237	r__Root	0.17859582574837393	708	4.1e-41	0.90225077	4.1933	0.1403,0.764,3.289
SI072_200m_contig	k147_99198_3	NirK	1	119	r__Root	0.2568878333943698	1130	3.3e-46	1.0	2.7904	0.4486,0.5802,1.7616
SI072_200m_contig	k147_368573_1	NirK	1	187	r__Root; d__Bacteria	0.3017982937780009	235	6.8e-54	1.0	1.4912	0.189,0.2902,1.012
SI072_200m_contig	k147_346584_1	NirK	1	311	r__Root	0.18030760682583438	301	1.9e-45	1.0	2.5449	0.9216,1.6233,0.0
SI072_200m_contig	k147_283539_1	NirK	1	391	r__Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosopumilus	1.5105004603588943	654	5e-48	0.7085126287	0.1834	0.0241,0.0458,0.1136
SI072_200m_contig	k147_348121_1	NirK	1	379	r__Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Longimicrobiales; f__UBA6960; g__UBA1138; s__UBA1138 sp009937285	0.4073484844497033	979	2.3e-76	1.0	0.0002	0.0001,0.0001,0.0
SI072_200m_contig	k147_215069_1	NirK	7	430	r__Root; d__Bacteria	0.20780801120023976	29	4e-67	1.0	1.5872	1.4026,0.1846,0.0
SI072_200m_contig	k147_186192_1	NirK	1	402	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__PS1; f__Thioglobaceae; g__SUP05	0.9561702443927915	301	5.4e-47	1.0	0.2846	0.0001,0.2846,0.0
SI072_200m_contig	k147_280670_1	NirK	1	133	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__PS1; f__Thioglobaceae; g__SUP05	3.9604407674727127	301	1.2e-19	1.0	0.2517	0.2516,0.0001,0.0
SI072_200m_contig	k147_428378_1	NirK	1	201	r__Root; d__Bacteria; p__Nitrospinota; c__Nitrospinia; o__Nitrospinales; f__Nitrospinaceae	0.40543305270464197	889	3.6e-59	0.5139628654	0.1196	0.0001,0.0001,0.1194
SI072_200m_contig	k147_11841_4	NirK	1	379	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__PS1; f__Thioglobaceae; g__SUP05; s__SUP05 sp000205985	106.2450117761547	1111	7.8e-98	1.0	0.0002	0.0001,0.0001,0.0
SI072_200m_contig	k147_201704_1	NirK	1	217	r__Root	0.2214428063651363	301	3.1e-36	1.0	2.8352	1.4839,1.3513,0.0
SI072_200m_contig	k147_272212_1	NirK	1	194	r__Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosopumilus	0.3515146364171175	411	2.2e-29	1.0	0.2635	0.1582,0.1054,0.0
SI072_200m_contig	k147_400560_1	NirK	1	325	r__Root; d__Bacteria; p__SAR324; c__SAR324; o__SAR324; f__NAC60-12; g__Arctic96AD-7; s__Arctic96AD-7 sp018645085	1.695108131400083	1119	4.4e-96	1.0	0.0002	0.0001,0.0001,0.0
SI072_200m_contig	k147_182862_1	NirK	1	177	r__Root	0.13285376868287704	301	2.2e-30	1.0	2.5236	1.6277,0.8959,0.0
SI072_200m_contig	k147_448187_2	NirK	1	256	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__UBA6615; f__UBA6615; g__UBA8079; s__UBA8079 sp018667335	0.4391928477547562	479	7.5e-80	1.0	0.0002	0.0001,0.0001,0.0
SI072_200m_contig	k147_125889_2	NirK	3	342	r__Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosopumilus; s__Nitrosopumilus sp905616385	0.4921768686321468	506	2.4e-81	1.0	0.0436	0.0227,0.0209,0.0
SI072_200m_contig	k147_206703_1	NirK	1	172	r__Root; d__Bacteria; p__Nitrospinota; c__Nitrospinia; o__Nitrospinales; f__Nitrospinaceae; g__UBA8687	0.3281179124214312	874	2.8e-53	0.6045538535	0.2879	0.0001,0.0795,0.2084
SI072_200m_contig	k147_446667_1	NirK	1	359	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Pelagibacterales; f__Pelagibacteraceae; g__Pelagibacter	0.5305639224530385	1002	2.1e-92	1.0	0.168	0.0837,0.0843,0.0
SI072_200m_contig	k147_266418_5	NirK	3	364	r__Root; d__Bacteria; p__SAR324; c__SAR324; o__SAR324; f__NAC60-12; g__Arctic96AD-7; s__Arctic96AD-7 sp018645085	1.4044645255883543	1119	5.1e-99	1.0	0.0234	0.0233,0.0001,0.0
SI072_200m_contig	k147_40542_1	NirK	11	413	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__GCA-2731375; f__GCA-2731375; g__GCA-2731375; s__GCA-2731375 sp018701215	0.338347008012507	257	5.6e-73	1.0	0.0002	0.0001,0.0001,0.0
SI072_200m_contig	k147_64763_1	NirK	2	212	r__Root	0.24362508662522178	301	1.7e-45	1.0	3.0768	1.5499,1.5269,0.0
SI072_200m_contig	k147_226449_1	NirK	1	176	r__Root	0.213773791426084	321	3.5e-52	0.7285457305	2.0398	0.2793,0.5532,1.2073
SI072_200m_contig	k147_194783_1	NirK	3	229	r__Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosopumilus; s__Nitrosopumilus sp905616385	0.2249272066309231	506	2.4e-54	1.0	0.0002	0.0001,0.0001,0.0
SI072_200m_contig	k147_50397_1	NirK	1	377	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__PS1; f__Thioglobaceae; g__Thioglobus; s__Thioglobus sp018644675	55.229420431451075	1112	3.4e-101	1.0	0.0002	0.0001,0.0001,0.0
SI072_200m_contig	k147_278444_12	NirK	5	450	r__Root; d__Bacteria; p__Nitrospinota; c__Nitrospinia; o__Nitrospinales; f__Nitrospinaceae; g__LS-NOB; s__LS-NOB sp018653085	1.4338486010286118	881	9.9e-97	1.0	0.0002	0.0001,0.0001,0.0
SI072_200m_contig	k147_243016_1	NirK	1	176	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__PS1; f__Thioglobaceae; g__SUP05	45.867839122859145	301	1.1e-25	1.0	0.1789	0.0001,0.1789,0.0
SI072_200m_contig	k147_310324_2	NirK	15	403	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales	0.2735669558596173	958	1.3e-95	1.0	0.8778	0.1578,0.4015,0.3185
SI072_200m_contig	k147_206919_1	NirK	1	298	r__Root	0.24462034522246523	301	7.7e-38	1.0	2.8049	0.8326,1.9723,0.0
SI072_200m_contig	k147_152460_1	NirK	6	197	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylomonadaceae; g__Methyloprofundus; s__Methyloprofundus sp012960135	0.22679554521853576	322	1.1e-54	1.0	0.0002	0.0001,0.0001,0.0
SI072_200m_contig	k147_423435_2	NirK	3	325	r__Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosopumilus	0.4913606549196557	650	2.3e-46	1.0	0.0002	0.0001,0.0001,0.0
SI072_200m_contig	k147_132152_1	NirK	17	278	r__Root	0.24182212576213044	29	4e-43	1.0	1.7394	0.9486,0.7907,0.0
SI072_200m_contig	k147_312064_2	NirK	1	350	r__Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosopumilus; s__Nitrosopumilus sp018674605	7.034493824114574	509	6.2e-79	1.0	0.0002	0.0001,0.0001,0.0
SI072_200m_contig	k147_238700_2	NirK	1	95	r__Root; d__Bacteria; p__SAR324; c__SAR324; o__SAR324; f__NAC60-12; g__Arctic96AD-7; s__Arctic96AD-7 sp018645085	0.6683243795110204	1119	5.3e-17	1.0	0.1118	0.0001,0.1117,0.0
